COUNTY 	PROJECT NAME 	CYCLE 	PROJECT ADDRESS 	PROJ CITY 	PROJ ZIP 	APPLICANT/OWNER NAME 	HDGP $ 	HOME $ 	FHTF $ 	LIHTC9 $ 	HELP $ 	OAHTC $ 	GHAP $ 	HPF $ 	LIHTC4 $ 				
COUNTY 	PROJECT NAME 	LIHTC EQUITY $ 	LIFT $ 	OHCS LOAN $ 	TYPE OHCS LOAN 	OTHER 	AWHTC $ 	FWHDA $ 	MHHF $ 	PSH $ 	LIWX / OMEP $ 	TOTAL PROJECT COST 	TERM 	TYPE 	POPULATION 	TOTAL UNITS 	PRES 	#PBA 	Estimated 
Benton 	53rd Flats 	9344665	9300000	16500000	Conduit 	0	0	0	0	0	154000	30483564	30	NC 	FAM WF 	100	N 	0	2022-09-30 00:00:00
Benton 	Oak Crest Apts 	2809839	0	5800000	Conduit 	0	0	0	0	0	0	11975288	30	AR 	FAM WF 	50	Y 	50	2022-01-31 00:00:00
Clackamas 	Good Shepherd Vlgs 	19445809	0	40635000	Conduit 	0	0	0	0	3500000	166495	60574590	60	NC 	DIS FAM HOM SEN SUD 	142	N 	35	2023-06-01 00:00:00
Clackamas 	Marylhurst Commons 	14331188	4250000	23536000	Conduit 	0	0	0	0	0	50000	33904373	60	NC 	DIS FAM HOM WF 	100	N 	30	2023-07-01 00:00:00
Clackamas 	Molalla Apts 	5089500	4500000	11475000	Conduit 	0	0	0	0	0	46500	17023703	60	NC 	DIS 	60	N 	8	2023-05-31 00:00:00
Columbia 	St Helens Housing (Broadleaf Ar 	34580518	13400000	44350000	Conduit 	0	0	0	0	0	0	85491503	30	NC 	FAM SEN WF 	238	N 	75	2023-06-30 00:00:00
Crook 	Barnes Butte Vista 	4520981	4750000	6540000	Conduit 	0	0	0	0	0	0	12698116	30	NC 	DIS FAM HOM WF 	44	N 	8	2022-04-30 00:00:00
Deschutes 	27th Bend Townhomes 	0	900000	0	0	0	0	0	0	0	0	2700000	30	NC 	FAM WF 	12	N 	0	2022-03-30 00:00:00
Douglas 	Sunshine Park Apts 	9894178	9800000	18372547	Conduit 	0	0	0	0	0	200000	31384395	30	NC 	AW FAM WF 	144	N 	0	2022-02-01 00:00:00
Grant 	Meadowbrook I 	3706000	0	0	0	0	0	0	0	0	0	4667948	60	AR 	FAM SEN VETS 	24	No 	24	2022-08-01 00:00:00
Jackson 	Renaissance Flats 	8175460	7560000	14445000	Conduit 	0	0	0	0	0	110880	20847086	60	NC 	FAM WF (Wildfire Displac 	72	N 	0	2023-04-15 00:00:00
Josephine 	Cathedral Square 	16008000	0	0	0	0	0	0	0	0	0	19443399	60	NC 	FAM HOM 	56	No 	25	2023-06-01 00:00:00
Lane 	Barrel Brook Apartments 	11570000	0	0	0	0	0	0	0	0	0	19256013	60	AR 	DIS SEN 	98	Yes 	63	2022-12-01 00:00:00
Lane 	Grove on Garden Way 	17800000	0	0	0	0	0	0	0	0	0	33823930	60	NC 	DIS FAM SEN 	123	No 	0	2023-07-01 00:00:00
Lane 	Shore Pines at Munsel Creek 	5431120	10075000	4631000	Conduit 	0	0	0	0	0	0	21404728	30	NC 	FAM HIV PI WF 	67	N 	31	2022-08-01 00:00:00
Lincoln 	Lincoln City 25th Street 	13514128	13548238	20587500	Conduit 	0	0	0	0	0	0	30293369	60	NC 	FAM WF 	107	N 	0	2023-11-01 00:00:00
Linn 	Colonia Paz II 	9710888	15425000	16000000	Conduit 	0	0	0	0	0	179398	33138005	30	NC 	FAM WF 	116	N 	0	2023-05-31 00:00:00
Malheur 	OntarIo Townhomes 	6560358	5325000	10000000	Conduit 	0	0	0	0	0	0	16979757	30	NC 	AW FAM SEN WF 	70	N 	0	2022-04-01 00:00:00
Marion 	27th Ave Apts 	9492788	5100000	15525000	Conduit 	0	0	0	0	0	84000	23039497	60	NC 	FAM WF 	96	N 	8	2023-07-31 00:00:00
Marion 	Gateway 	18203643	16500000	38260000	Conduit 	0	0	0	0	0	0	55258511	60	NC 	FAM SEN WF 	184	N 	56	2024-10-01 00:00:00
Marion 	Hermanson Preserve 	8589560	7350000	19308917	Conduit 	0	0	0	0	0	200000	39497579	30	NC 	AW FAM PI WF 	204	N 	102	2022-05-01 00:00:00
Marion 	Mill City & Stayton 	10786921	15700000	23760000	Conduit 	0	0	0	0	0	106950	36208192	60	NC 	FAM WF (Wildfire Displac 	126	N 	16	2023-08-31 00:00:00
Marion 	Sequoia Crossings 	7473735	0	12521250	Conduit 	0	0	0	0	3518550	0	18215767	60	NC 	DIS HIV HOM PI SUD 	60	N 	60	2023-04-30 00:00:00
Multnomah 	148th Ave Apts 	6907800	5100000	19000000	Conduit 	0	0	0	0	0	83700	24505479	60	NC 	Refugees 	96	N 	10	2023-08-31 00:00:00
Multnomah 	Albertina Kerr WF & Inclusive H 	14037401	0	22421000	Conduit 	0	0	0	0	0	200000	43373572	60	NC 	DIS FAM WF 	147	N 	30	2022-04-30 00:00:00
Multnomah 	Ankeny Woods 	6328748	0	8380648	Conduit 	0	0	0	0	0	68460	16432643	60	AR 	FAM WF 	41	lp 	41	2022-08-01 00:00:00
